"","fips","abbr","county","pop_2015"
"1","01001","AL","Autauga County",55347
"2","01003","AL","Baldwin County",203709
"3","01005","AL","Barbour County",26489
"4","01007","AL","Bibb County",22583
"5","01009","AL","Blount County",57673
"6","01011","AL","Bullock County",10696
"7","01013","AL","Butler County",20154
"8","01015","AL","Calhoun County",115620
"9","01017","AL","Chambers County",34123
"10","01019","AL","Cherokee County",25859
"11","01021","AL","Chilton County",43943
"12","01023","AL","Choctaw County",13170
"13","01025","AL","Clarke County",24675
"14","01027","AL","Clay County",13555
"15","01029","AL","Cleburne County",15018
"16","01031","AL","Coffee County",51211
"17","01033","AL","Colbert County",54354
"18","01035","AL","Conecuh County",12672
"19","01037","AL","Coosa County",10724
"20","01039","AL","Covington County",37835
"21","01041","AL","Crenshaw County",13963
"22","01043","AL","Cullman County",82005
"23","01045","AL","Dale County",49565
"24","01047","AL","Dallas County",41131
"25","01049","AL","DeKalb County",71130
"26","01051","AL","Elmore County",81468
"27","01053","AL","Escambia County",37789
"28","01055","AL","Etowah County",103057
"29","01057","AL","Fayette County",16759
"30","01059","AL","Franklin County",31696
"31","01061","AL","Geneva County",26777
"32","01063","AL","Greene County",8479
"33","01065","AL","Hale County",15068
"34","01067","AL","Henry County",17221
"35","01069","AL","Houston County",104173
"36","01071","AL","Jackson County",52419
"37","01073","AL","Jefferson County",660367
"38","01075","AL","Lamar County",13886
"39","01077","AL","Lauderdale County",92596
"40","01079","AL","Lawrence County",33115
"41","01081","AL","Lee County",156993
"42","01083","AL","Limestone County",91663
"43","01085","AL","Lowndes County",10458
"44","01087","AL","Macon County",19105
"45","01089","AL","Madison County",353089
"46","01091","AL","Marengo County",20028
"47","01093","AL","Marion County",30168
"48","01095","AL","Marshall County",94725
"49","01097","AL","Mobile County",415395
"50","01099","AL","Monroe County",21673
"51","01101","AL","Montgomery County",226519
"52","01103","AL","Morgan County",119565
"53","01105","AL","Perry County",9652
"54","01107","AL","Pickens County",20864
"55","01109","AL","Pike County",33046
"56","01111","AL","Randolph County",22696
"57","01113","AL","Russell County",59660
"58","01115","AL","St. Clair County",87074
"59","01117","AL","Shelby County",208713
"60","01119","AL","Sumter County",13103
"61","01121","AL","Talladega County",80862
"62","01123","AL","Tallapoosa County",40844
"63","01125","AL","Tuscaloosa County",203976
"64","01127","AL","Walker County",65294
"65","01129","AL","Washington County",16804
"66","01131","AL","Wilcox County",11059
"67","01133","AL","Winston County",23877
"68","02013","AK","Aleutians East Borough",3341
"69","02016","AK","Aleutians West Census Area",5702
"70","02020","AK","Anchorage Municipality",298695
"71","02050","AK","Bethel Census Area",17946
"72","02060","AK","Bristol Bay Borough",892
"73","02068","AK","Denali Borough",1919
"74","02070","AK","Dillingham Census Area",4997
